frequency_inverse_angstrom,two_states_amplitude,gaussian_amplitude
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.250000000000000130e-04,9.999518089593280035e-01,9.999691579618720239e-01
1.250000000000000026e-03,9.998072404820648185e-01,9.998766375547586405e-01
1.874999999999999931e-03,9.995663085020212169e-01,9.997224558987114484e-01
2.500000000000000052e-03,9.992290362407229010e-01,9.995066415212828792e-01
3.125000000000000173e-03,9.987954562051724050e-01,9.992292343487297890e-01
3.749999999999999861e-03,9.982656101847159347e-01,9.988902856937027508e-01
4.375000000000000416e-03,9.976395492470157000e-01,9.984898582394270417e-01
5.000000000000000104e-03,9.969173337331279638e-01,9.980280260203828746e-01
5.624999999999999792e-03,9.960990332516871382e-01,9.975048743994922029e-01
6.250000000000000347e-03,9.951847266721969287e-01,9.969205000418225326e-01
6.875000000000000035e-03,9.941745021174281938e-01,9.962750108848187347e-01
7.499999999999999722e-03,9.930684569549262930e-01,9.955685261050762902e-01
8.125000000000000278e-03,9.918666977876260393e-01,9.948011760816688476e-01
8.750000000000000833e-03,9.905693404435772509e-01,9.939731023560481882e-01
9.374999999999999653e-03,9.891765099647810144e-01,9.930844575885315884e-01
1.000000000000000021e-02,9.876883405951377704e-01,9.921354055113971171e-01
1.062500000000000076e-02,9.861049757675087735e-01,9.911261208786048549e-01
1.124999999999999958e-02,9.844265680898915960e-01,9.900567894121689028e-01
1.187500000000000014e-02,9.826532793307117819e-01,9.889276077451997216e-01
1.250000000000000069e-02,9.807852804032304306e-01,9.877387833616437796e-01
1.312499999999999951e-02,9.788227513490723730e-01,9.864905345327447117e-01
1.375000000000000007e-02,9.767658813208723867e-01,9.851830902502549669e-01
1.437500000000000062e-02,9.746148685640450005e-01,9.838166901564247002e-01
1.499999999999999944e-02,9.723699203976765570e-01,9.823915844707988843e-01
1.562500000000000000e-02,9.700312531945439742e-01,9.809080339138541715e-01
1.625000000000000056e-02,9.675990923602597604e-01,9.793663096275071478e-01
1.687500000000000111e-02,9.650736723115473925e-01,9.777666930925292821e-01
1.750000000000000167e-02,9.624552364536472782e-01,9.761094760429021022e-01
1.812499999999999875e-02,9.597440371568574102e-01,9.743949603771508983e-01
