pixel1,pixel2
7.498188448088496383e-01,1.903318797691902819e+00
2.783624921840566646e+00,1.787902541561004810e+00
1.173648009389564484e+00,1.704125237601332055e+00
8.463459054631504719e-01,-4.348026748012268627e-01
-7.636995376037941652e-01,-1.993076527319450619e+00
-1.018055767420327884e+00,-2.587333796188702184e+00
1.161660228169214326e+00,2.715123327813258935e+00
5.480376240936738697e+00,3.832097521338206914e+00
-7.188783864380640098e-01,8.783915244633103692e-01
-1.768653204014964120e-01,3.995547070096294173e-01
4.310136264528228178e-01,-1.175602711711455806e+00
-1.831452821251820851e+00,-1.412940617468952498e+00
-1.952593377864547008e+00,-4.455446741186669946e-01
-2.344327490448786300e+00,-2.668012413893376955e+00
9.077900564740574996e-02,3.559240203166098571e+00
-4.097897187151305354e-01,1.628564483196839774e+00
5.405078221447764397e-01,8.409073839615796020e-01
-1.020836116608654143e+00,-7.302746626711011935e-01
-1.553301416249715627e+00,-3.216799945520089299e+00
-1.576130205217354696e+00,-1.318449022815432414e+00
-7.360569445586705450e-01,3.820636000088321604e-01
1.352698811828820347e+00,-4.413548673667541111e-01
6.742976763188721634e-01,1.381307345846485957e+00
-1.749612138681902573e+00,-1.500927472625588788e+00
-4.590182059203678833e+00,-3.158876257012816158e+00
2.083241867018664983e+00,1.885993710568362625e+00
-3.605429727469338985e+00,-3.798524791848685300e+00
1.795781939167531704e-01,3.147708140641187313e+00
2.930115663452678154e-01,4.938535372647764321e-01
-1.427171507521656002e+00,-2.333731916912197502e+00
-1.328262675047321983e-01,-2.635387119566316105e+00
-3.375697708922793083e+00,-2.551293685050133764e+00
-2.903547146167519521e+00,-3.201762418277644073e+00
2.613681451769929609e+00,2.408082788023764298e+00
1.372341997637525735e+00,1.355697132014578088e+00
-4.108937191303954961e+00,-4.733093177941454677e+00
1.154605150612962317e-01,-7.169096092398659081e-01
-6.605673814964586832e+00,-5.543953727878570881e+00
1.539334930748202490e+00,7.768291196777413754e-01
1.045139723113467811e+00,-3.461597462358603772e-01
-2.691266502763783208e+00,-2.522788286603616204e+00
1.430433429416092084e+00,-8.859802415207436166e-01
2.833111792552797326e+00,1.259736274581707560e+00
2.595956602704976302e+00,3.690827242187682877e+00
-3.121278928562654542e+00,-1.757075538318850771e+00
3.311914724428561385e+00,1.504414311816055339e+00
-1.221380976213065850e+00,-8.450782536447020155e-01
1.724478629914980798e+00,3.020357701062191813e-01
2.374716294962502250e+00,2.252917740095212729e+00
1.854467353820015374e+00,2.068107168931982542e+00
2.947499156902888995e+00,2.490244567944817966e+00
-5.556839089144519406e+00,-4.634871783599961326e+00
-4.451119773356325027e+00,-2.736414229119439767e+00
1.640665025365561691e+00,1.959179586326306621e+00
-3.659859473029816179e-01,3.118744010763016550e-01
3.848370759142126118e+00,2.443509869287790348e+00
3.617283758943619087e-01,-7.785143514069571280e-01
2.749168336997198092e-01,-9.311642178898500433e-01
1.364248447275417275e+00,-1.429238168377884755e+00
-9.221687225395718279e-01,-2.674998335149809670e+00
-4.583173333409566452e-01,7.714613855091287942e-01
8.642787745140687594e-01,-1.989788323615120813e+00
-5.155277937028320823e-01,-1.661823117035398159e-02
2.235935429332774671e+00,1.279499193643117261e+00
1.163921982067783079e+00,9.938676120756438637e-02
9.802303912493682825e-01,1.243390999105582484e+00
-1.021334278381415661e+00,-1.483606612525972146e+00
4.768465078710831251e-01,3.289886521831021926e-01
-3.394606115621904507e+00,-4.220999342307053759e+00
-4.262894964595975722e-01,1.000648930783896384e+00
-3.629421280458486443e+00,-1.062455831981781174e+00
-5.247547406777281154e+00,-3.993166525114258736e+00
7.186210792330238739e-01,2.119723974070017558e+00
